,"1.3.3","   Con otro elemento",36,30,29,31,32,43,27,34,38,33,,,333
,"1.3.4","   No especificado",6,17,7,7,7,6,4,9,8,5,,,76
,1.4,"Aborto",67,70,93,79,88,68,73,87,71,79,,,775
,1.5,"Víctimas por otros delitos que atentan contra la vida y la integridad corporal",1104,995,1362,1337,1412,1312,1326,1381,1299,1396,,,12924
,2,"Víctimas de delitos contra la libertad personal",2064,2055,2415,2348,2657,3106,2676,3093,2684,2638,,,25736
,2.1,"Secuestro",64,113,50,49,80,52,36,51,52,59,,,606
,"2.1.1","   Secuestro extorsivo",37,88,44,45,69,39,32,43,36,51,,,484
,"2.1.2","   Secuestro con calidad de rehén",18,8,1,0,5,5,1,2,1,4,,,45
,"2.1.3","   Secuestro para causar daño",1,8,0,2,6,4,0,3,4,1,,,29
,"2.1.4","   Secuestro exprés",8,9,5,2,0,4,3,3,11,3,,,48
,"2.1.5","   Otro tipo de secuestros",0,0,0,0,0,0,0,0,0,0,,,0
,2.2,"Tráfico de menores",0,0,2,3,3,0,1,1,1,0,,,11
,2.3,"Rapto",6,14,10,12,7,15,4,5,17,14,,,104
,2.4,"Víctimas por otros delitos que atentan contra la libertad personal",1994,1928,2353,2284,2567,3039,2635,3036,2614,2565,,,25015
,4,"Víctimas de delitos contra el patrimonio",742,730,945,1141,1116,1141,857,941,839,851,,,9303
,4.4,"Extorsión",742,730,945,1141,1116,1141,857,941,839,851,,,9303
,6,"Víctimas de delitos contra la sociedad",996,940,1069,1028,1117,971,849,872,894,1010,,,9746
,6.1,"Corrupción de menores",188,261,320,283,313,284,283,289,278,306,,,2805
,6.2,"Trata de personas",53,92,81,80,91,88,90,94,75,49,,,793
,6.3,"Víctimas por otros delitos contra la sociedad",755,587,668,665,713,599,476,489,541,655,,,6148
,,,,,,,,,,,,,,,
,"1/ Se refiere al número de presuntas víctimas registradas en carpetas de investigación iniciadas.",,,,,,,,,,,,,,
,"Fuente: Elaborado con la información remitida por las Procuradurías y/o Fiscalías Generales de las 32 entidades federativas.",,,,,,,,,,,,,,
,"Datos preliminares al 20 de noviembre de 2022, con corte al 31 de octubre de 2022.",,,,,,,,,,,,,,
