,"1.3.1","   Con arma de fuego",11,16,25,19,17,22,15,21,14,14,25,17,216
,"1.3.2","   Con arma blanca",16,22,18,15,30,19,20,24,17,19,13,15,228
,"1.3.3","   Con otro elemento",43,31,47,41,58,32,31,61,36,32,32,43,487
,"1.3.4","   No especificado",6,9,13,7,6,13,6,6,3,6,4,6,85
,1.4,"Aborto",51,60,58,70,74,65,63,49,68,53,68,49,728
,1.5,"Víctimas por otros delitos que atentan contra la vida y la integridad corporal",1144,1083,1354,1353,1383,1291,1286,1275,1249,1327,1199,1157,15101
,2,"Víctimas de delitos contra la libertad personal",1738,1773,2236,2123,2154,2226,2296,2245,2398,2257,2217,2114,25777
,2.1,"Secuestro",50,76,67,64,69,63,83,82,77,67,65,52,815
,"2.1.1","   Secuestro extorsivo",41,65,57,55,50,49,75,66,68,53,44,35,658
,"2.1.2","   Secuestro con calidad de rehén",2,1,0,1,13,11,4,0,2,3,3,9,49
,"2.1.3","   Secuestro para causar daño",3,3,1,1,1,0,1,3,1,2,4,5,25
,"2.1.4","   Secuestro exprés",4,7,9,7,5,3,3,13,6,9,14,3,83
,"2.1.5","   Otro tipo de secuestros",0,0,0,0,0,0,0,0,0,0,0,0,0
,2.2,"Tráfico de menores",4,2,6,5,4,1,5,0,0,1,3,1,32
,2.3,"Rapto",7,16,22,17,10,21,9,13,16,9,10,5,155
,2.4,"Víctimas por otros delitos que atentan contra la libertad personal",1677,1679,2141,2037,2071,2141,2199,2150,2305,2180,2139,2056,24775
,4,"Víctimas de delitos contra el patrimonio",603,700,873,724,728,786,828,880,812,834,835,804,9407
,4.4,"Extorsión",603,700,873,724,728,786,828,880,812,834,835,804,9407
,6,"Víctimas de delitos contra la sociedad",1036,975,1177,1033,1013,933,975,966,998,1140,907,1018,12171
,6.1,"Corrupción de menores",176,219,260,225,263,283,276,257,235,260,202,194,2850
,6.2,"Trata de personas",36,57,80,95,86,54,62,66,64,46,60,47,753
,6.3,"Víctimas por otros delitos contra la sociedad",824,699,837,713,664,596,637,643,699,834,645,777,8568
,,,,,,,,,,,,,,,
,"1/ Se refiere al número de presuntas víctimas registradas en carpetas de investigación iniciadas.",,,,,,,,,,,,,,
,"Fuente: Elaborado con la información remitida por las Procuradurías y/o Fiscalías Generales de las 32 entidades federativas.",,,,,,,,,,,,,,
,"Datos preliminares al 20 de agosto de 2022, con corte al 31 de diciembre de 2021.",,,,,,,,,,,,,,
