,"1.3.1","   Con arma de fuego",23,19,15,18,14,21,24,18,18,16,21,15,222
,"1.3.2","   Con arma blanca",12,20,21,16,18,28,20,22,18,17,27,19,238
,"1.3.3","   Con otro elemento",37,44,38,30,37,38,29,26,36,44,34,40,433
,"1.3.4","   No especificado",3,9,3,9,5,10,3,9,10,5,6,10,82
,1.4,"Aborto",50,58,70,39,57,43,63,56,49,53,49,48,635
,1.5,"Víctimas por otros delitos que atentan contra la vida y la integridad corporal",842,921,1047,844,1045,983,1108,1087,1121,1086,1015,1138,12237
,2,"Víctimas de delitos contra la libertad personal",1953,2145,2134,1559,1707,1946,1983,1970,2147,2102,1797,1725,23168
,2.1,"Secuestro",108,102,94,83,68,89,81,92,94,95,71,70,1047
,"2.1.1","   Secuestro extorsivo",96,79,82,71,61,74,59,80,80,86,61,60,889
,"2.1.2","   Secuestro con calidad de rehén",2,2,8,1,2,1,15,0,1,2,3,2,39
,"2.1.3","   Secuestro para causar daño",4,2,1,9,1,0,3,3,4,1,2,1,31
,"2.1.4","   Secuestro exprés",6,19,3,2,4,14,4,9,9,6,5,7,88
,"2.1.5","   Otro tipo de secuestros",0,0,0,0,0,0,0,0,0,0,0,0,0
,2.2,"Tráfico de menores",2,1,1,1,0,2,1,4,0,4,3,3,22
,2.3,"Rapto",14,13,10,7,8,12,16,16,15,22,11,17,161
,2.4,"Víctimas por otros delitos que atentan contra la libertad personal",1829,2029,2029,1468,1631,1843,1885,1858,2038,1981,1712,1635,21938
,4,"Víctimas de delitos contra el patrimonio",715,752,716,649,626,685,735,750,740,688,678,646,8380
,4.4,"Extorsión",715,752,716,649,626,685,735,750,740,688,678,646,8380
,6,"Víctimas de delitos contra la sociedad",1065,1146,1163,656,601,744,840,1031,1143,1292,1153,1070,11904
,6.1,"Corrupción de menores",206,291,286,174,181,192,190,226,251,270,213,184,2664
,6.2,"Trata de personas",46,30,69,54,42,71,65,64,87,59,41,53,681
,6.3,"Víctimas por otros delitos contra la sociedad",813,825,808,428,378,481,585,741,805,963,899,833,8559
,,,,,,,,,,,,,,,
,"1/ Se refiere al número de presuntas víctimas registradas en carpetas de investigación iniciadas.",,,,,,,,,,,,,,
,"Fuente: Elaborado con la información remitida por las Procuradurías y/o Fiscalías Generales de las 32 entidades federativas.",,,,,,,,,,,,,,
,"Datos preliminares al 20 de noviembre de 2022, con corte al 31 de diciembre de 2020.",,,,,,,,,,,,,,
